config,mean_recall_at_5,mean_mrr,n_queries,n_skipped
dense,0.3852564102564103,0.601025641025641,260,40
hybrid_bm25_rrf,0.35544871794871796,0.5498717948717948,260,40
rerank,0.36923076923076925,0.5876282051282051,260,40
full_decomposition,0.5038461538461538,0.652948717948718,260,40
