class,bin,n,prob_min,prob_max,mean_confidence,empirical_rate,abs_gap,ece_contribution,ci95_low,ci95_high,is_sparse
gafgyt_udp,0,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
gafgyt_udp,1,8900,0.0,0.0,0.0,0.00011235955056179776,0.00011235955056179776,1.1235955056179776e-05,0.0,0.0003325718971401384,False
gafgyt_udp,2,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
gafgyt_udp,3,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
gafgyt_udp,4,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
gafgyt_udp,5,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
gafgyt_udp,6,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
gafgyt_udp,7,8900,0.0,0.4993467251720522,0.010828530107663605,0.010337078651685393,0.0004914514559782122,4.914514559782122e-05,0.00823570332807591,0.012438453975294875,False
gafgyt_udp,8,8900,0.4993467251720522,0.49976070461201433,0.49958241436556766,0.5051685393258427,0.005586124960275052,0.0005586124960275052,0.49478111512138057,0.5155559635303049,False
gafgyt_udp,9,8900,0.49976070461201433,1.0,0.5007488372854692,0.4956179775280899,0.005130859757379258,0.0005130859757379258,0.48523039725415523,0.5060055578020245,False
mirai_ack,0,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_ack,1,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_ack,2,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_ack,3,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_ack,4,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_ack,5,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_ack,6,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_ack,7,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_ack,8,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_ack,9,8900,0.0,1.0,0.7865167608811994,0.7865168539325843,9.305138493065357e-08,9.305138493065357e-09,0.7780035746306188,0.7950301332345499,False
mirai_scan,0,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_scan,1,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_scan,2,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_scan,3,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_scan,4,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_scan,5,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_scan,6,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_scan,7,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_scan,8,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_scan,9,8900,0.0,1.0,0.7864282623919028,0.7865168539325843,8.85915406815263e-05,8.85915406815263e-06,0.7780035746306188,0.7950301332345499,False
mirai_syn,0,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_syn,1,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_syn,2,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_syn,3,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_syn,4,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_syn,5,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_syn,6,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_syn,7,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_syn,8,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_syn,9,8900,0.0,1.0,0.7865371259596173,0.7865168539325843,2.0272027033030326e-05,2.027202703303033e-06,0.7780035746306188,0.7950301332345499,False
mirai_udp,0,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_udp,1,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_udp,2,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_udp,3,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_udp,4,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_udp,5,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_udp,6,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_udp,7,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_udp,8,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_udp,9,8900,0.0,1.0,0.7866190421568466,0.7865168539325843,0.00010218822426233398,1.02188224262334e-05,0.7780035746306188,0.7950301332345499,False
mirai_udpplain,0,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_udpplain,1,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_udpplain,2,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_udpplain,3,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_udpplain,4,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_udpplain,5,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_udpplain,6,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_udpplain,7,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_udpplain,8,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
mirai_udpplain,9,8900,0.0,1.0,0.7864247791300978,0.7865168539325843,9.207480248651922e-05,9.207480248651924e-06,0.7780035746306188,0.7950301332345499,False
