slice,class,bin,n,prob_min,prob_max,mean_confidence,empirical_rate,abs_gap,ece_contribution,ci95_low,ci95_high,is_sparse
weak_devices_true_gafgyt_tcp_udp,gafgyt_tcp,0,597,0.0,0.49982491950480673,0.4975525281887978,0.4991624790619765,0.0016099508731787227,0.00016104904009512356,0.45905380538542423,0.5392711527385288,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_tcp,1,597,0.49982491950480673,0.49982491950480673,0.4998249195048067,0.49246231155778897,0.0073626079470177075,0.0007365075308930247,0.4523581395674666,0.5325664835481113,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_tcp,2,597,0.49982491950480673,0.49982491950480673,0.4998249195048067,0.46901172529313234,0.030813194211674333,0.0030823520349144732,0.42898010013603644,0.5090433504502282,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_tcp,3,597,0.49982491950480673,0.5002392953879857,0.5001053346753332,0.490787269681742,0.009318064993591224,0.0009321187669527413,0.4506853487240378,0.5308891906394462,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_tcp,4,597,0.5002392953879857,0.5002392953879857,0.5002392953879858,0.48408710217755446,0.016152193210431376,0.0016157606143812888,0.4439986900699448,0.5241755142851642,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_tcp,5,597,0.5002392953879857,0.5002392953879857,0.5002392953879858,0.5293132328308208,0.02907393744283493,0.0029083680719457863,0.4892734903212681,0.5693529753403734,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_tcp,6,597,0.5002392953879857,0.5002392953879857,0.5002392953879858,0.49748743718592964,0.002751858202056201,0.0002752780406547507,0.4573792136552635,0.5375956607165957,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_tcp,7,597,0.5002392953879857,0.5002392953879857,0.5002392953879858,0.5058626465661642,0.00562335117817836,0.0005625235679243433,0.46575667384071495,0.5459686192916134,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_tcp,8,596,0.5002392953879857,0.5002392953879857,0.5002392953879858,0.4815436241610738,0.018695671226912014,0.0018670610005428218,0.44142861739168293,0.5216586309304647,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_tcp,9,596,0.5002392953879857,1.0,0.5019148757034202,0.511744966442953,0.009830090739532782,0.0009816913674198288,0.471613678681204,0.551876254204702,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_udp,0,597,0.0,0.4993467251720522,0.49767387182139206,0.49748743718592964,0.000186434635462418,1.8649711355741212e-05,0.4573792136552635,0.5375956607165957,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_udp,1,597,0.4993467251720522,0.4993467251720522,0.4993467251720522,0.507537688442211,0.008190963270158835,0.0008193708231040255,0.4674335164518887,0.5476418604325334,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_udp,2,597,0.4993467251720522,0.4993467251720522,0.4993467251720522,0.5293132328308208,0.02996650765876857,0.0029976550054096576,0.4892734903212681,0.5693529753403734,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_udp,3,597,0.4993467251720522,0.49976070461201433,0.49962756549564463,0.509212730318258,0.009585164822613346,0.0009588377009216097,0.46911080936055377,0.5493146512759621,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_udp,4,597,0.49976070461201433,0.49976070461201433,0.4997607046120144,0.5159128978224455,0.016152193210431154,0.0016157606143812665,0.4758244857148359,0.5560013099300553,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_udp,5,597,0.49976070461201433,0.49976070461201433,0.4997607046120144,0.47068676716917923,0.02907393744283515,0.0029083680719458084,0.43064702465962656,0.5107265096787319,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_udp,6,597,0.49976070461201433,0.49976070461201433,0.4997607046120144,0.5025125628140703,0.0027518582020559235,0.0002752780406547229,0.4624043392834042,0.5426207863447364,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_udp,7,597,0.49976070461201433,0.49976070461201433,0.4997607046120144,0.49413735343383586,0.005623351178178526,0.0005625235679243599,0.4540313807083866,0.534243326159285,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_udp,8,596,0.49976070461201433,0.49976070461201433,0.4997607046120144,0.5184563758389261,0.018695671226911736,0.001867061000542794,0.4783413690695353,0.558571382608317,False
weak_devices_true_gafgyt_tcp_udp,gafgyt_udp,9,596,0.49976070461201433,1.0,0.501558218538637,0.49328859060402686,0.008269627934610169,0.0008258542642472621,0.4531498429277999,0.5334273382802538,False
