held_out_device,class,f1,precision,recall,support
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_tcp,0.0027960854803275414,1.0,0.0014,5000
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_udp,0.6670224119530416,0.500400320256205,1.0,5000
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_ack,1.0,1.0,1.0,5000
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_scan,1.0,1.0,1.0,5000
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_syn,1.0,1.0,1.0,5000
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_udp,1.0,1.0,1.0,5000
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_udpplain,1.0,1.0,1.0,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,benign,0.9962083416483736,0.994026284348865,0.9984,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_combo,1.0,1.0,1.0,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_junk,0.9939369843951893,0.9879470460383324,1.0,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_scan,0.983946352367405,1.0,0.9684,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_tcp,0.0007996801279488205,1.0,0.0004,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_udp,0.6663112295901367,0.4996501749125437,0.9998,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_ack,1.0,1.0,1.0,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_scan,0.9932459276916965,0.9865824782951855,1.0,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_syn,1.0,1.0,1.0,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_udp,1.0,1.0,1.0,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_udpplain,1.0,1.0,1.0,5000
