margin_bin,n,mean_margin,mean_p_tcp,mean_p_udp
"(0.5, 0.9]",68,0.8720104124915626,0.06399479375421872,0.9360052062457813
"(0.9, 0.99]",51,0.9398913767046027,0.030054311647698662,0.9699456883523013
"(0.99, 1.0]",3,0.9931625180560776,0.0034187409719611873,0.9965812590280388
