margin_bin,gated_true_tcp_udp_n,tcp_to_udp_errors,tcp_to_udp_error_rate
"(-0.001, 0.5]",3957,1007,0.2544857215061916
"(0.5, 0.9]",0,0,
"(0.9, 0.99]",0,0,
"(0.99, 1.0]",10,0,0.0
