margin_threshold,hedged_alerts_n,hedged_alerts_frac,tcp_to_udp_errors_total,tcp_to_udp_errors_caught,tcp_to_udp_error_capture_rate,hedged_gated_true_tcp_udp_n,hedged_gated_true_tcp_udp_error_rate,hedged_all_alert_error_rate
0.5,89927,0.2248175,1007,1007,1.0,3957,0.2544857215061916,0.011197971688147053
0.9,89944,0.22486,1007,1007,1.0,3957,0.2544857215061916,0.011195855198790359
0.95,89946,0.224865,1007,1007,1.0,3957,0.2544857215061916,0.011195606252640473
0.99,89948,0.22487,1007,1007,1.0,3957,0.2544857215061916,0.011195357317561258
