feature,n_tcp_to_udp_errors,error_median,error_p10,error_p90,error_min,error_max,boundary_type,boundary_low,boundary_high,error_frac_in_boundary
HH_jit_L5_mean,122,1505913534.999493,1505913533.0548043,1505913535.8328087,1505913532.5742538,1505913535.983258,p10_p90_gap,1505913472.835133,1505913540.1004324,1.0
HH_jit_L3_mean,122,1505913534.999493,1505913533.0548043,1505913535.8328087,1505913532.5742538,1505913535.983258,p10_p90_gap,1505913472.835133,1505913540.1004324,1.0
HH_jit_L1_mean,122,1505913534.999493,1505913533.0548043,1505913535.8328087,1505913532.5742538,1505913535.983258,p10_p90_gap,1505913472.835133,1505913540.1004324,1.0
HH_jit_L0.1_mean,122,1505913534.999493,1505913533.0548043,1505913535.8328087,1505913532.5742538,1505913535.983258,p10_p90_gap,1505913472.835133,1505913540.1004324,1.0
HH_jit_L0.01_mean,122,1505913534.999493,1505913533.0548043,1505913535.8328087,1505913532.5742538,1505913535.983258,p10_p90_gap,1505913472.835133,1505913540.1004324,1.0
