device_name,n_benign_train,n_benign_test,n_attack_test,benign_fpr,attack_recall,benign_score_mean,benign_score_std,attack_score_mean,attack_score_std
Danmini_Doorbell,3500,1500,50000,0.10666666666666667,1.0,0.08738244453495247,0.0735985284229705,-0.16176631679151773,0.032934042867846916
Ecobee_Thermostat,3500,1500,50000,0.09133333333333334,0.80022,0.07322161435610973,0.05607883444873291,-0.10835244174833801,0.07482655243593864
Ennio_Doorbell,3500,1500,25000,0.09666666666666666,0.5562,0.09931019273335255,0.07676886211859633,-0.019547490302728388,0.08278021045560388
Philips_B120N10_Baby_Monitor,3500,1500,50000,0.04066666666666666,0.6016,0.1403491840626243,0.07464245885729708,-0.05977877777408687,0.11940325570296417
Provision_PT_737E_Security_Camera,3500,1500,50000,0.27266666666666667,0.58034,0.07110286363372693,0.0913283490569451,-0.03755256400372323,0.10225153006883272
Provision_PT_838_Security_Camera,3500,1500,50000,0.26866666666666666,0.55918,0.06922959328772742,0.07918712058806358,-0.028622454580465702,0.09740986464784548
Samsung_SNH_1011_N_Webcam,3500,1500,25000,0.06133333333333333,0.60044,0.09996686348426215,0.0625003121746545,-0.08022885525095419,0.07094680143408856
SimpleHome_XCS7_1002_WHT_Security_Camera,3500,1500,50000,0.106,0.79982,0.10343492177077947,0.0830774724694267,-0.10488276737579763,0.08838009803940251
SimpleHome_XCS7_1003_WHT_Security_Camera,3500,1500,50000,0.07933333333333334,1.0,0.12294138719143495,0.08462070808156981,-0.13763611284557667,0.06526969342303558
