pred_class,n,mean_atypicality,p50_atypicality,p90_atypicality,p95_atypicality
benign,455,0.2589010989010989,0.19999999999999996,0.4,0.4
gafgyt_combo,454,0.21013215859030834,0.19999999999999996,0.4,0.4
gafgyt_junk,455,0.17758241758241755,0.19999999999999996,0.19999999999999996,0.2599999999999909
gafgyt_scan,454,0.09955947136563874,0.0,0.19999999999999996,0.19999999999999996
gafgyt_tcp,439,0.0009111617312072893,0.0,0.0,0.0
gafgyt_udp,469,0.0,0.0,0.0,0.0
mirai_ack,455,0.13274725274725274,0.19999999999999996,0.4,0.4
mirai_scan,455,0.024175824175824173,0.0,0.19999999999999996,0.19999999999999996
mirai_syn,454,0.06563876651982377,0.0,0.19999999999999996,0.19999999999999996
mirai_udp,454,0.1317180616740088,0.19999999999999996,0.19999999999999996,0.19999999999999996
mirai_udpplain,456,0.11754385964912278,0.19999999999999996,0.19999999999999996,0.19999999999999996
