margin_bin,n,weak_frac,mean_entropy,mean_p_top1
"(-0.001, 0.5]",89927,0.3332703192589545,0.6945069750899255,0.5003969850147209
"(0.5, 0.9]",17,0.11764705882352941,0.413115740538899,0.8548392997383933
"(0.9, 0.99]",4,0.0,0.09389576380719282,0.9802074693244611
"(0.99, 1.0]",310052,9.030743230167842e-05,5.008442249113088e-06,0.9999993764500793
