margin_bin,n,weak_frac,mean_entropy,mean_p_top1
"(-0.001, 0.5]",2,0.0,0.6608244146902449,0.6264376747546083
"(0.5, 0.9]",10625,0.998964705882353,0.23785337297484885,0.9359911894471397
"(0.9, 0.99]",15432,0.3344997407983411,0.13457823519402468,0.9697720432951225
"(0.99, 1.0]",373941,0.03803808622215804,0.0003063640904240022,0.9999541138402035
