feature_family,representative_feature,representative_auc_separation,representative_auc_udp_vs_tcp,higher_value_class,mean_diff_udp_minus_tcp,tcp_mean,udp_mean,tcp_std,udp_std,std_ratio_udp_over_tcp,variance_ratio_udp_over_tcp,cohens_d_udp_minus_tcp,family_mean_auc_separation,family_max_auc_separation,spread_representative_feature,spread_abs_log_std_ratio,spread_std_ratio_udp_over_tcp,spread_higher_class,spread_feature_auc_separation,n_concrete_features,n_tcp,n_udp
HH_covariance,HH_L0.1_covariance,0.5004246603870305,0.5004246603870305,gafgyt_udp,-0.015582025353315723,0.06342994576377965,0.04784792041046393,8.25577438934999,1.991140483001507,0.24118155234112176,0.05816854118967325,-0.0025947986616175673,0.5002743720363962,0.5004246603870305,HH_L0.01_covariance,3.8313168391083976,0.021681046373644253,gafgyt_tcp,0.5004083813917725,5,30600,30600
HH_pcc,HH_L0.01_pcc,0.5003757166047247,0.5003757166047247,gafgyt_udp,0.0001878758543327429,0.00035661090664130656,0.0005444867609740495,0.015931094793425107,0.020499693518380213,1.2867724273940422,1.6557832799015564,0.010233967379716252,0.5002482770515615,0.5003757166047247,HH_L5_pcc,2.2332929672910944,9.330540711856717,gafgyt_udp,0.5000979639241319,5,30600,30600
HpHp_covariance,HpHp_L0.01_covariance,0.5002778578751762,0.5002778578751762,gafgyt_udp,-0.5256566261426381,0.5263270690941487,0.0006704429515106225,92.069634625287,0.058734045269145524,0.0006379306870086587,4.0695556142733927e-07,-0.008074221013304423,0.5001699074074074,0.5002778578751762,HpHp_L0.01_covariance,7.35728092157361,0.0006379306870086587,gafgyt_tcp,0.5002778578751762,5,30600,30600
HpHp_std,HpHp_L0.01_std,0.5002124957281386,0.4997875042718613,gafgyt_tcp,-0.024695295063906452,0.02536750253425385,0.0006722074703473987,2.2209506278008626,0.0588042274169774,0.026477052970422885,0.0007010343339985791,-0.015719478673938077,0.5001176496219403,0.5002124957281386,HpHp_L0.01_std,3.631476846764563,0.026477052970422885,gafgyt_tcp,0.5002124957281386,5,30600,30600
HpHp_radius,HpHp_L1_radius,0.5002123691742492,0.49978763082575084,gafgyt_tcp,-1.2980946834641172,1.3020525476871176,0.0039578642230003805,217.73549156953882,0.353934286244247,0.0016255240874738603,2.642328558957726e-06,-0.008431242274743284,0.5001241684822076,0.5002123691742492,HpHp_L0.01_radius,7.82258064714052,0.0004005865751543205,gafgyt_tcp,0.5001472110085865,5,30600,30600
HH_magnitude,HH_L1_magnitude,0.500163574907087,0.499836425092913,gafgyt_tcp,-0.05147442121955237,60.23009944715306,60.178625025933506,11.683979756608396,10.228483511043178,0.8754280411396641,0.7663742552136295,-0.004687856520588885,0.5001472876884959,0.500163574907087,HH_L5_magnitude,0.14174810373863286,0.8678398345650502,gafgyt_tcp,0.5001471768336965,5,30600,30600
HH_mean,HH_L1_mean,0.5001635482079543,0.4998364517920458,gafgyt_tcp,0.0037615371445838264,60.14036852752827,60.14413006467285,8.070877028772404,9.869996766866908,1.2229150229498855,1.495521153356519,0.000417233330502386,0.5001211398393781,0.5001635482079543,HH_L1_mean,0.2012373718297626,1.2229150229498855,gafgyt_udp,0.5001635482079543,5,30600,30600
H_variance,H_L5_variance,0.5001634825280875,0.4998365174719125,gafgyt_tcp,-16.5265483804761,29.871440581551425,13.344892201075323,1774.1240160728912,1110.4614037719555,0.6259209580117263,0.39177704567831734,-0.011166789962136476,0.5001374989320346,0.5001634825280875,H_L0.01_variance,1.0660928862837404,0.34435131221969306,gafgyt_tcp,0.5001312630825749,5,30600,30600
MI_dir_variance,MI_dir_L5_variance,0.5001634825280875,0.4998365174719125,gafgyt_tcp,-16.5265483804761,29.871440581551425,13.344892201075323,1774.1240160728912,1110.4614037719555,0.6259209580117263,0.39177704567831734,-0.011166789962136476,0.5001374989320346,0.5001634825280875,MI_dir_L0.01_variance,1.0660928862837404,0.34435131221969306,gafgyt_tcp,0.5001312630825749,5,30600,30600
H_mean,H_L1_mean,0.5001634793241916,0.4998365206758084,gafgyt_tcp,-0.05830585776108421,60.20853808599486,60.150232228233776,8.175381598559731,7.3140577320445805,0.8946442002576502,0.8003882450546503,-0.007516853205569364,0.5001473119313085,0.5001634793241916,H_L0.01_mean,1.0822518695261005,0.33883166121384745,gafgyt_tcp,0.5001476034858388,5,30600,30600
