held_out_device,class,f1,precision,recall,support
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_udp,0.9998999899989999,1.0,0.9998,5000
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_ack,0.9996999099729919,1.0,0.9994,5000
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_scan,1.0,1.0,1.0,5000
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_syn,1.0,1.0,1.0,5000
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_udp,0.9997000899730081,0.9994003597841296,1.0,5000
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_udpplain,0.9998,0.9998,0.9998,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,benign,0.9997000299970004,0.9996000799840032,0.9998,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_combo,0.9999000099990001,0.9998000399920016,1.0,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_junk,0.9876543209876543,0.975609756097561,1.0,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_scan,0.9870340356564019,1.0,0.9744,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_tcp,0.967155546374716,1.0,0.9364,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_udp,0.9690861517588915,0.9400263207369807,1.0,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_ack,1.0,1.0,1.0,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_scan,1.0,1.0,1.0,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_syn,1.0,1.0,1.0,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_udp,0.9999000099990001,0.9998000399920016,1.0,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_udpplain,0.9998999899989999,1.0,0.9998,5000
